id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name,binds
159642,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN1CCN(Cc2cccc(N)c2)CC1,Cc1ccnc(N)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(CN3CCN(C)CC3)c2)nc(Nc2cc(C)ccn2)n1,BRD4,0
486750,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCCn1cnc2ccsc2c1=O,CN(CCN)C1CCOCC1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCN(C)C2CCOCC2)nc(NCCn2cnc3ccsc3c2=O)n1,BRD4,0
899336,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Cl)cn1,COC(=O)c1ccc(N)cc1O,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(C(=O)OC)c(O)c2)nc(Nc2ccc(Cl)cn2)n1,sEH,0
533403,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.Cn1cc(N)ccc1=O,Cc1ccc(CN)c(OC2CCOC2)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ccc(C)cc2OC2CCOC2)nc(Nc2ccc(=O)n(C)c2)n1,BRD4,1
140868,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN(C)c1nc(Cl)c(CN)s1.Cl.Cl,Cc1c(N)cccc1Br,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2sc(N(C)C)nc2Cl)nc(Nc2cccc(Br)c2C)n1,BRD4,0
837647,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,NCc1cn(C(F)F)c2ccccc12,Cl.Cl.NCC#Cc1cccnc1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC#Cc2cccnc2)nc(NCc2cn(C(F)F)c3ccccc23)n1,sEH,0
929570,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(N2CCOCC2)cc1,Cc1cccc(N)c1Cl,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(N3CCOCC3)cc2)nc(Nc2cccc(C)c2Cl)n1,sEH,0
149026,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CN1CC(CCN)CC1=O,COc1ccc([N+](=O)[O-])c(N)n1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCC2CC(=O)N(C)C2)nc(Nc2nc(OC)ccc2[N+](=O)[O-])n1,HSA,0
877962,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cc(N2CCNCC2)ccc1[N+](=O)[O-],COC(=O)c1scc(C)c1N,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(N3CCNCC3)ccc2[N+](=O)[O-])nc(Nc2c(C)csc2C(=O)OC)n1,BRD4,1
423597,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1cnc(Cl)cc1N,CCc1cc(N)n[nH]1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(CC)[nH]n2)nc(Nc2cc(Cl)ncc2C)n1,BRD4,0
903346,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Cl)nc1Cl,Nc1n[nH]c2c(F)c(F)ccc12,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(Cl)nc2Cl)nc(Nc2n[nH]c3c(F)c(F)ccc23)n1,HSA,0
991128,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Cn1cc(CN)cn1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnn(C)c2)nc(Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)n1,BRD4,0
448638,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cc1nnc(CCCN)s1.Cl,Cl.NCCOc1ccc(F)c(F)c1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCCc2nnc(C)s2)nc(NCCOc2ccc(F)c(F)c2)n1,BRD4,0
890801,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Nc1ccc(Br)c(F)n1,CCOC(=O)c1coc(N)n1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(Br)c(F)n2)nc(Nc2nc(C(=O)OCC)co2)n1,sEH,0
29229,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C#N)c1ccc(N)cc1,NCC1CCC2CC2C1,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCC3CC3C2)nc(Nc2ccc(C(C)(C)C#N)cc2)n1,BRD4,0
571902,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,Cl.NCC1CCCC2(CCC2)C1O,Cl.NCC1CC12CCOCC2,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC2CCCC3(CCC3)C2O)nc(NCC2CC23CCOCC3)n1,BRD4,0
